Year,Scenario,Africa,Asia-Pacific Developed,Eastern Asia,Europe,Eurasia,Latin America and Caribbean,Middle East,North America,Southern Asia,South-East Asia and Developing Pacific,Global
2015,ssp119,0.441848373,0.195254183,0.809689522,0.004188538,0.168889523,0.503851604,-0.024994278,-0.246473503,1.271854687,1.223543215,0.227269324
2016,ssp119,0.106619453,0.036407328,0.504021645,-0.047289371,0.136378765,0.038533878,-0.175562286,-0.716679764,1.593451786,1.753821898,0.028371063
2017,ssp119,-0.225257778,-0.135110998,0.428677559,-0.117289543,0.516823292,-0.137183952,-0.847584152,-0.500598621,1.506606388,1.326626348,-0.112422895
2018,ssp119,0.243256664,-0.00082078,0.184084892,-0.269468307,0.235940456,-0.031818199,-0.419932747,-0.73824091,1.165471363,0.389872599,-0.123882961
2019,ssp119,-0.086132908,-0.221422338,-0.107914925,-0.394830227,0.144848347,-0.088087368,-0.546166801,-0.965789032,0.7075284,1.101738977,-0.254579281
2020,ssp119,-0.17550602,-0.371761942,-0.246160507,-0.872684479,-0.303143978,-0.118165779,-0.834956551,-1.628786278,0.796218204,0.817701387,-0.50837293
2021,ssp119,-0.266268635,-0.612209463,0.062010765,-1.127188683,-0.154933453,-0.195709515,-1.073615456,-1.423459244,0.311739254,0.310238886,-0.503702317
2022,ssp119,-0.427994156,-0.62656703,-0.940668106,-1.605074883,-1.108832836,-0.876980114,-1.769241714,-2.392158222,-0.419946384,0.395926046,-0.874119824
2023,ssp119,-0.863169098,-0.492496157,-1.379563332,-1.889490604,-1.036383152,-0.975205231,-2.296562576,-2.490151119,-1.040586185,-0.217273664,-1.058732616
2024,ssp119,-1.203388596,-0.888447905,-1.737454414,-2.660033226,-1.578117847,-1.16695528,-2.610203171,-3.228556347,-1.60888834,-0.899056864,-1.495756817
2025,ssp119,-1.319062138,-1.42103591,-2.02623558,-3.018399715,-2.043940067,-1.608654785,-3.545841599,-3.780440044,-2.590207767,-1.410752249,-1.887946641
